Home,Away,lambda_mandante,lambda_visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,cotacao_minima_H,cotacao_minima_D,cotacao_minima_A,cotacao_minima_over_25,cotacao_minima_ambas_marcam,favorito
Bahia,Atletico-MG,1.43816,1.12759,0.44328,0.2592,0.29752,1.43815,1.12759,2.56574,0.47294,0.52706,0.51422,0.76263,0.67619,1-1,0.12318,2.2559,3.85803,3.36113,2.11445,1.94469,Bahia
Bahia,Coritiba,2.00224,0.99934,0.6075,0.20915,0.18335,2.00216,0.99934,3.0015,0.57716,0.42284,0.54539,0.86497,0.63188,1-0,0.1007,1.64609,4.7812,5.45411,1.73262,1.83357,Bahia
Bahia,Flamengo RJ,1.1973,1.53251,0.29869,0.24959,0.45172,1.1973,1.5325,2.7298,0.51365,0.48635,0.54582,0.69799,0.78401,1-1,0.11829,3.34798,4.00651,2.21377,1.94686,1.83209,Flamengo RJ
Bahia,Mirassol,1.54838,1.21962,0.4507,0.24779,0.3015,1.54837,1.21962,2.76799,0.52288,0.47712,0.55346,0.78741,0.70466,1-1,0.11718,2.21875,4.03563,3.31672,1.91247,1.80682,Bahia
Bahia,Sao Paulo,1.38944,1.03579,0.45162,0.2666,0.28178,1.38944,1.03579,2.42523,0.43687,0.56313,0.4828,0.75079,0.64505,1-1,0.12581,2.21424,3.75095,3.54889,2.28902,2.07124,Bahia
Botafogo RJ,Atletico-MG,1.50801,1.01178,0.48863,0.25596,0.25541,1.50801,1.01178,2.51978,0.46125,0.53875,0.49411,0.77865,0.63643,1-0,0.1228,2.04656,3.9068,3.91526,2.16801,2.02383,Botafogo RJ
Botafogo RJ,Bahia,1.68941,1.03092,0.52926,0.23858,0.23215,1.68939,1.03092,2.72031,0.51134,0.48866,0.5232,0.81537,0.64332,1-1,0.11335,1.88941,4.19141,4.30752,1.95564,1.91132,Botafogo RJ
Botafogo RJ,Chapecoense-SC,2.29252,0.77083,0.71774,0.17187,0.11038,2.29226,0.77083,3.06309,0.59084,0.40916,0.48212,0.89899,0.53737,2-0,0.1228,1.39325,5.81828,9.0593,1.69251,2.07418,Botafogo RJ
Botafogo RJ,Sao Paulo,1.45693,0.9294,0.49536,0.26264,0.242,1.45693,0.9294,2.38633,0.42672,0.57328,0.46276,0.76705,0.60521,1-0,0.13545,2.01871,3.80756,4.13223,2.34348,2.16093,Botafogo RJ
Botafogo RJ,Vasco,1.91149,0.96411,0.59649,0.21674,0.18677,1.91143,0.96411,2.87555,0.54837,0.45163,0.52598,0.85214,0.61868,1-0,0.10899,1.67648,4.61381,5.35416,1.82359,1.90121,Botafogo RJ
Bragantino,Chapecoense-SC,2.03558,0.84126,0.65262,0.20052,0.14686,2.03549,0.84126,2.87674,0.54865,0.45135,0.49341,0.86939,0.56883,2-0,0.11667,1.53228,4.98698,6.80939,1.82265,2.02673,Bragantino
